"","RT01","RT02","RT03","RT04","RT05","RT06","RT07","RT08","RT09","RT10","RT11","RT12","RT13","RT14","RT15","RT16","RT17","RT18","RT19","RT20","RT21","RT22","RT23","RT24","RT25","RT26","RT27","RT28","RT29","RT30","RT31","RT32","RT33","RT34","RT35","RT36","RT37","RT38","RT39","RT40","RT41","RT42","RT43","RT44","RT45","RT46","RT47","RT48"
"hsa-miR-199a-3p",3,5,1,5,0,3,9,4,0,2,2,1,0,1,3,0,3,0,1,0,0,3,0,0,113,1,3,3,2,1,2,0,1,7,1,4,1,0,3,2,0,0,0,0,1,0,4,2
"hsa-miR-19a-3p",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-19b-3p",1,0,0,0,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"hsa-miR-203a-3p",3,11,11,17,8,11,549,3,2,9,1,4,4,0,2,0,4,1,8,2,3,1,0,1,0,0,0,5,4,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,38,0
"hsa-miR-20b-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-21-5p",1,18,2,10,7,10,75,29,0,10,9,3,6,0,2,0,20,3,17,0,2,3,2,1,260,3,13,15,17,3,17,1,6,17,8,14,1,1,1,13,3,0,3,5,18,1,35,9
"hsa-miR-22-3p",37,81,51,139,51,113,1209,92,9,76,49,32,39,8,9,0,161,3,50,11,13,14,24,23,1567,9,53,92,89,20,75,7,108,198,34,61,24,1,75,70,20,12,70,36,126,25,184,53
"hsa-miR-221-3p",1,7,0,11,0,9,36,4,0,1,2,1,2,1,0,0,6,0,1,0,0,0,2,0,66,0,1,1,4,0,3,0,2,3,0,2,0,0,0,4,0,2,1,1,6,0,3,2
"hsa-miR-222-3p",1,6,2,15,3,17,20,7,1,8,1,1,1,1,1,0,5,0,0,2,1,0,0,0,47,0,3,3,2,0,2,0,3,3,1,3,2,1,4,1,1,0,4,2,4,0,2,3
"hsa-miR-223-3p",3,4,1,10,2,8,30,17,3,4,4,0,1,2,1,0,17,0,1,1,1,2,0,1,80,0,4,8,2,2,3,1,5,22,0,0,0,0,3,3,0,1,1,3,11,2,20,1
